sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_phone,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,biosample,sra
c_control_bph_16,,,,,,,C_Control_BPH_16,GSM8181783,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181783,NONE,GSE262940,0,SRX24117863,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709693,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117863
c_control_bph_17,,,,,,,C_Control_BPH_17,GSM8181784,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181784,NONE,GSE262940,0,SRX24117864,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709692,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117864
c_control_bph_18,,,,,,,C_Control_BPH_18,GSM8181785,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181785,NONE,GSE262940,0,SRX24117865,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709691,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117865
c_control_bph_19,,,,,,,C_Control_BPH_19,GSM8181786,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181786,NONE,GSE262940,0,SRX24117866,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709690,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117866
c_control_bph_20,,,,,,,C_Control_BPH_20,GSM8181787,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181787,NONE,GSE262940,0,SRX24117867,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709689,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117867
c_control_bph_21,,,,,,,C_Control_BPH_21,GSM8181788,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181788,NONE,GSE262940,0,SRX24117868,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709688,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117868
c_control_bph_22,,,,,,,C_Control_BPH_22,GSM8181789,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181789,NONE,GSE262940,0,SRX24117869,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709687,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117869
c_control_bph_23,,,,,,,C_Control_BPH_23,GSM8181790,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181790,NONE,GSE262940,0,SRX24117870,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709686,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117870
c_control_bph_24,,,,,,,C_Control_BPH_24,GSM8181791,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181791,NONE,GSE262940,0,SRX24117871,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709685,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117871
c_control_bph_25,,,,,,,C_Control_BPH_25,GSM8181792,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181792,NONE,GSE262940,0,SRX24117872,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709684,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117872
c_control_bph_26,,,,,,,C_Control_BPH_26,GSM8181793,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181793,NONE,GSE262940,0,SRX24117873,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709683,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117873
c_control_bph_27,,,,,,,C_Control_BPH_27,GSM8181794,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181794,NONE,GSE262940,0,SRX24117874,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709682,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117874
c_control_bph_28,,,,,,,C_Control_BPH_28,GSM8181795,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181795,NONE,GSE262940,0,SRX24117875,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709681,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117875
c_control_bph_29,,,,,,,C_Control_BPH_29,GSM8181796,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181796,NONE,GSE262940,0,SRX24117876,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709680,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117876
c_control_bph_30,,,,,,,C_Control_BPH_30,GSM8181797,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181797,NONE,GSE262940,0,SRX24117877,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709679,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117877
a_cr_pc_0,,,,,,,A_CR_PC_0,GSM8181798,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181798,NONE,GSE262940,0,SRX24117878,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709678,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117878
a_cr_pc_1,,,,,,,A_CR_PC_1,GSM8181799,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181799,NONE,GSE262940,0,SRX24117879,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709677,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117879
a_cr_pc_2,,,,,,,A_CR_PC_2,GSM8181800,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181800,NONE,GSE262940,0,SRX24117880,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709676,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117880
a_cr_pc_3,,,,,,,A_CR_PC_3,GSM8181801,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181801,NONE,GSE262940,0,SRX24117881,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709675,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117881
b_cs_pc_0,,,,,,,B_CS_PC_0,GSM8181802,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181802,NONE,GSE262940,0,SRX24117882,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709674,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117882
b_cs_pc_1,,,,,,,B_CS_PC_1,GSM8181803,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181803,NONE,GSE262940,0,SRX24117883,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709673,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117883
b_cs_pc_2,,,,,,,B_CS_PC_2,GSM8181804,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181804,NONE,GSE262940,0,SRX24117884,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709672,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117884
b_cs_pc_3,,,,,,,B_CS_PC_3,GSM8181805,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181805,NONE,GSE262940,0,SRX24117885,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709671,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117885
b_cs_pc_4,,,,,,,B_CS_PC_4,GSM8181806,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181806,NONE,GSE262940,0,SRX24117886,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709670,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117886
b_cs_pc_5,,,,,,,B_CS_PC_5,GSM8181807,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181807,NONE,GSE262940,0,SRX24117887,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709669,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117887
b_cs_pc_6,,,,,,,B_CS_PC_6,GSM8181808,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181808,NONE,GSE262940,0,SRX24117888,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709668,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117888
b_cs_pc_7,,,,,,,B_CS_PC_7,GSM8181809,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181809,NONE,GSE262940,0,SRX24117889,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709667,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117889
b_cs_pc_8,,,,,,,B_CS_PC_8,GSM8181810,Public on Sep 11 2024,Apr 01 2024,Sep 11 2024,SRA,1,Prostate (benign),Homo sapiens,9606,tissue: Prostate (benign),total RNA,GPL11154,"Prathibha,,Ranganathan",+91 8971288755,Cancer Lab,Centre for Human Genetics,Electronic City Phase I,Bengaluru,Karnataka,560100,India,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,GSM8181810,NONE,GSE262940,0,SRX24117890,https://www.ncbi.nlm.nih.gov/biosample/SAMN40709666,https://www.ncbi.nlm.nih.gov/sra?term=SRX24117890
