sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,timepoint_group,treatment_group
35cr_day_7_control_7,,,,,,,35CR_Day_7_control_7,GSM2281058,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_Day 7: control, sample: 7",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_Day 7: control, sample: 7",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281058/suppl/GSM2281058_38967.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281058,LuCaP 35CR PDX tumor,Day 7,control
35cr_day_7_control_9,,,,,,,35CR_Day_7_control_9,GSM2281059,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_Day 7: control, sample: 9",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_Day 7: control, sample: 9",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281059/suppl/GSM2281059_38969.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281059,LuCaP 35CR PDX tumor,Day 7,control
35cr_day_7_abi_5,,,,,,,35CR_Day_7_abi_5,GSM2281060,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_Day 7: abi, sample: 5",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_Day 7: abi, sample: 5",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281060/suppl/GSM2281060_38965.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281060,LuCaP 35CR PDX tumor,Day 7,abi
35cr_day_7_abi_12,,,,,,,35CR_Day_7_abi_12,GSM2281061,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_Day 7: abi, sample: 12",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_Day 7: abi, sample: 12",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281061/suppl/GSM2281061_38972.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281061,LuCaP 35CR PDX tumor,Day 7,abi
35cr_day_7_abi_13,,,,,,,35CR_Day_7_abi_13,GSM2281062,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_Day 7: abi, sample: 13",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_Day 7: abi, sample: 13",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281062/suppl/GSM2281062_38973.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281062,LuCaP 35CR PDX tumor,Day 7,abi
35cr_day_7_abi_15,,,,,,,35CR_Day_7_abi_15,GSM2281063,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 35CR_Day 7: abi, sample: 15",Homo sapiens,9606,total RNA,biotin,"LuCaP 35CR_Day 7: abi, sample: 15",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281063/suppl/GSM2281063_38975.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281063,LuCaP 35CR PDX tumor,Day 7,abi
77_eos_control_18,,,,,,,77_EOS_control_18,GSM2281064,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control, sample: 18",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control, sample: 18",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281064/suppl/GSM2281064_38978.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281064,LuCaP 77 PDX tumor,EOS,control
77_eos_control_19,,,,,,,77_EOS_control_19,GSM2281065,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control, sample: 19",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control, sample: 19",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281065/suppl/GSM2281065_38979.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281065,LuCaP 77 PDX tumor,EOS,control
77_eos_control_20,,,,,,,77_EOS_control_20,GSM2281066,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control, sample: 20",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control, sample: 20",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281066/suppl/GSM2281066_38980.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281066,LuCaP 77 PDX tumor,EOS,control
77_eos_control_21,,,,,,,77_EOS_control_21,GSM2281067,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control, sample: 21",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control, sample: 21",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281067/suppl/GSM2281067_38981.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281067,LuCaP 77 PDX tumor,EOS,control
77_eos_control_29,,,,,,,77_EOS_control_29,GSM2281068,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control, sample: 29",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control, sample: 29",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281068/suppl/GSM2281068_38989.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281068,LuCaP 77 PDX tumor,EOS,control
77_eos_control_cx_17,,,,,,,77_EOS_control_CX_17,GSM2281069,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control CX, sample: 17",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control CX, sample: 17",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281069/suppl/GSM2281069_38977.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281069,LuCaP 77 PDX tumor,EOS,control CX
77_eos_control_cx_24,,,,,,,77_EOS_control_CX_24,GSM2281070,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control CX, sample: 24",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control CX, sample: 24",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281070/suppl/GSM2281070_38984.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281070,LuCaP 77 PDX tumor,EOS,control CX
77_eos_control_cx_25,,,,,,,77_EOS_control_CX_25,GSM2281071,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control CX, sample: 25",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control CX, sample: 25",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281071/suppl/GSM2281071_38985.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281071,LuCaP 77 PDX tumor,EOS,control CX
77_eos_control_cx_27,,,,,,,77_EOS_control_CX_27,GSM2281072,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control CX, sample: 27",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control CX, sample: 27",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281072/suppl/GSM2281072_38987.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281072,LuCaP 77 PDX tumor,EOS,control CX
77_eos_control_cx_28,,,,,,,77_EOS_control_CX_28,GSM2281073,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: control CX, sample: 28",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: control CX, sample: 28",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281073/suppl/GSM2281073_38988.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281073,LuCaP 77 PDX tumor,EOS,control CX
77_eos_abi_22,,,,,,,77_EOS_abi_22,GSM2281074,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: abi, sample: 22",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: abi, sample: 22",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281074/suppl/GSM2281074_38982.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281074,LuCaP 77 PDX tumor,EOS,abi
77_eos_abi_23,,,,,,,77_EOS_abi_23,GSM2281075,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: abi, sample: 23",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: abi, sample: 23",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281075/suppl/GSM2281075_38983.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281075,LuCaP 77 PDX tumor,EOS,abi
77_eos_abi_26,,,,,,,77_EOS_abi_26,GSM2281076,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: abi, sample: 26",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: abi, sample: 26",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281076/suppl/GSM2281076_38986.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281076,LuCaP 77 PDX tumor,EOS,abi
77_eos_abi_30,,,,,,,77_EOS_abi_30,GSM2281077,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: abi, sample: 30",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: abi, sample: 30",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281077/suppl/GSM2281077_38990.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281077,LuCaP 77 PDX tumor,EOS,abi
77_eos_abi_31,,,,,,,77_EOS_abi_31,GSM2281078,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 77_EOS: abi, sample: 31",Homo sapiens,9606,total RNA,biotin,"LuCaP 77_EOS: abi, sample: 31",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281078/suppl/GSM2281078_38991.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281078,LuCaP 77 PDX tumor,EOS,abi
96cr_eos_control_33,,,,,,,96CR_EOS_control_33,GSM2281079,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: control, sample: 33",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: control, sample: 33",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281079/suppl/GSM2281079_38993.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281079,LuCaP 96CR PDX tumor,EOS,control
96cr_eos_control_40,,,,,,,96CR_EOS_control_40,GSM2281080,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: control, sample: 40",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: control, sample: 40",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281080/suppl/GSM2281080_39000.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281080,LuCaP 96CR PDX tumor,EOS,control
96cr_eos_control_44,,,,,,,96CR_EOS_control_44,GSM2281081,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: control, sample: 44",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: control, sample: 44",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281081/suppl/GSM2281081_39004.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281081,LuCaP 96CR PDX tumor,EOS,control
96cr_eos_control_45,,,,,,,96CR_EOS_control_45,GSM2281082,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: control, sample: 45",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: control, sample: 45",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281082/suppl/GSM2281082_39005.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281082,LuCaP 96CR PDX tumor,EOS,control
96cr_eos_abi_32,,,,,,,96CR_EOS_abi_32,GSM2281083,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: abi, sample: 32",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: abi, sample: 32",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281083/suppl/GSM2281083_38992.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281083,LuCaP 96CR PDX tumor,EOS,abi
96cr_eos_abi_36,,,,,,,96CR_EOS_abi_36,GSM2281084,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: abi, sample: 36",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: abi, sample: 36",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281084/suppl/GSM2281084_38996.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281084,LuCaP 96CR PDX tumor,EOS,abi
