sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,gender,disease_state,tissue,cell_type,time_of_wbc_and_fatigue_score_collection,individual
11a_d7,,,,,,,11a_d7,GSM753582,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB110112_11C,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753582/suppl/GSM753582.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753582,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,11
11a_d14,,,,,,,11a_d14,GSM753583,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB110112_11D,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753583/suppl/GSM753583.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753583,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,11
11a_d21,,,,,,,11a_d21,GSM753584,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB110112_11E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753584/suppl/GSM753584.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753584,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,11
11a_d42,,,,,,,11a_d42,GSM753585,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB110112_11F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753585/suppl/GSM753585.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753585,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,11
11a_d72,,,,,,,11a_d72,GSM753586,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB110112_11G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753586/suppl/GSM753586.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753586,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),11
13a_b,,,,,,,13a_b,GSM753587,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB110112_13A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753587/suppl/GSM753587.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753587,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,13
13a_c,,,,,,,13a_c,GSM753588,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB110112_HV30,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753588/suppl/GSM753588.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753588,male,healthy,peripheral blood,white blood cells,,
13a_d1,,,,,,,13a_d1,GSM753589,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB110112_13B,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753589/suppl/GSM753589.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753589,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,13
13a_d7,,,,,,,13a_d7,GSM753590,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB110112_13C,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753590/suppl/GSM753590.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753590,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,13
13a_d14,,,,,,,13a_d14,GSM753591,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB110112_13D,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753591/suppl/GSM753591.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753591,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,13
13a_d21,,,,,,,13a_d21,GSM753592,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB110112_13E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753592/suppl/GSM753592.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753592,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,13
13a_d42,,,,,,,13a_d42,GSM753593,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB110112_13F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753593/suppl/GSM753593.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753593,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,13
13a_d72,,,,,,,13a_d72,GSM753594,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB110112_13G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753594/suppl/GSM753594.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753594,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),13
1a_b,,,,,,,1a_b,GSM753595,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB110112_P1A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753595/suppl/GSM753595.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753595,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,P1
1a_c,,,,,,,1a_c,GSM753596,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB110112_HV11,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753596/suppl/GSM753596.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753596,male,healthy,peripheral blood,white blood cells,,
1a_d1,,,,,,,1a_d1,GSM753597,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB110112_P1B,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753597/suppl/GSM753597.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753597,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,P1
1a_d7,,,,,,,1a_d7,GSM753598,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB110112_P1C,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753598/suppl/GSM753598.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753598,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,P1
1a_d14,,,,,,,1a_d14,GSM753599,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB110112_P1D,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753599/suppl/GSM753599.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753599,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,P1
1a_d21,,,,,,,1a_d21,GSM753600,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB110112_XRT P1E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753600/suppl/GSM753600.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753600,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,P1
1a_d42,,,,,,,1a_d42,GSM753601,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB110112_P1F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753601/suppl/GSM753601.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753601,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,P1
1a_d72,,,,,,,1a_d72,GSM753602,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB110112_P1G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753602/suppl/GSM753602.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753602,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),P1
2_b,,,,,,,2_b,GSM753603,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB100504_2A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753603/suppl/GSM753603.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753603,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,2
2_c,,,,,,,2_c,GSM753604,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB100504_HV17A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753604/suppl/GSM753604.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753604,male,healthy,peripheral blood,white blood cells,,
2_d1,,,,,,,2_d1,GSM753605,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB100504_2B-R,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753605/suppl/GSM753605.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753605,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,2
2_d7,,,,,,,2_d7,GSM753606,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB100504_2C,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753606/suppl/GSM753606.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753606,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,2
2_d14,,,,,,,2_d14,GSM753607,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB100504_2D,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753607/suppl/GSM753607.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753607,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,2
2_d21,,,,,,,2_d21,GSM753608,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB100504_2E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753608/suppl/GSM753608.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753608,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,2
2_d42,,,,,,,2_d42,GSM753609,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB100504_2F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753609/suppl/GSM753609.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753609,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,2
2_d72,,,,,,,2_d72,GSM753610,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB100504_2G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753610/suppl/GSM753610.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753610,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),2
