sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_hyb_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,detection_pval,big_key,tissue_type,patient,batch
tumor_tissue_patient_p8,,,,,,,tumor tissue patient p8,GSM1977973,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_K,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977973,tumor,p8,1
tumor_tissue_patient_p9,,,,,,,tumor tissue patient p9,GSM1977974,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4493851045_L,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977974,tumor,p9,1
tumor_tissue_patient_p10,,,,,,,tumor tissue patient p10,GSM1977975,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_A,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977975,tumor,p10,1
normal_tissue_patient_p10,,,,,,,normal tissue patient p10,GSM1977976,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_B,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977976,normal,p10,1
tumor_tissue_patient_p12,,,,,,,tumor tissue patient p12,GSM1977977,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_C,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977977,tumor,p12,1
normal_tissue_patient_p12,,,,,,,normal tissue patient p12,GSM1977978,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_D,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977978,normal,p12,1
normal_tissue_patient_p13,,,,,,,normal tissue patient p13,GSM1977979,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_E,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977979,normal,p13,1
tumor_tissue_patient_p13,,,,,,,tumor tissue patient p13,GSM1977980,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_F,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977980,tumor,p13,1
tumor_tissue_patient_p14,,,,,,,tumor tissue patient p14,GSM1977981,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_G,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977981,tumor,p14,1
normal_tissue_patient_p14,,,,,,,normal tissue patient p14,GSM1977982,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_H,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977982,normal,p14,1
tumor_tissue_patient_p15,,,,,,,tumor tissue patient p15,GSM1977983,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_I,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977983,tumor,p15,1
normal_tissue_patient_p15,,,,,,,normal tissue patient p15,GSM1977984,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_J,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977984,normal,p15,1
tumor_tissue_patient_p17,,,,,,,tumor tissue patient p17,GSM1977985,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_K,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977985,tumor,p17,1
normal_tissue_patient_p17,,,,,,,normal tissue patient p17,GSM1977986,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663035_L,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977986,normal,p17,1
tumor_tissue_patient_p20,,,,,,,tumor tissue patient p20,GSM1977987,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_A,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977987,tumor,p20,1
normal_tissue_patient_p20,,,,,,,normal tissue patient p20,GSM1977988,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_B,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977988,normal,p20,1
tumor_tissue_patient_p21,,,,,,,tumor tissue patient p21,GSM1977989,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_C,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977989,tumor,p21,2
normal_tissue_patient_p21,,,,,,,normal tissue patient p21,GSM1977990,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_D,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977990,normal,p21,2
tumor_tissue_patient_p22,,,,,,,tumor tissue patient p22,GSM1977991,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_E,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977991,tumor,p22,1
normal_tissue_patient_p22,,,,,,,normal tissue patient p22,GSM1977992,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_F,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977992,normal,p22,1
normal_tissue_patient_p23,,,,,,,normal tissue patient p23,GSM1977993,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_H,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977993,normal,p23,1
normal_tissue_patient_p24,,,,,,,normal tissue patient p24,GSM1977994,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_J,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977994,normal,p24,1
tumor_tissue_patient_p25,,,,,,,tumor tissue patient p25,GSM1977995,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_K,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977995,tumor,p25,1
normal_tissue_patient_p25,,,,,,,normal tissue patient p25,GSM1977996,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4564663045_L,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977996,normal,p25,1
tumor_tissue_patient_p26,,,,,,,tumor tissue patient p26,GSM1977997,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_A,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977997,tumor,p26,1
normal_tissue_patient_p26,,,,,,,normal tissue patient p26,GSM1977998,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_B,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977998,normal,p26,1
normal_tissue_patient_p27,,,,,,,normal tissue patient p27,GSM1977999,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_D,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1977999,normal,p27,1
tumor_tissue_patient_p28,,,,,,,tumor tissue patient p28,GSM1978000,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_E,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978000,tumor,p28,2
normal_tissue_patient_p28,,,,,,,normal tissue patient p28,GSM1978001,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_F,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978001,normal,p28,2
tumor_tissue_patient_p29,,,,,,,tumor tissue patient p29,GSM1978002,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_G,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978002,tumor,p29,2
normal_tissue_patient_p29,,,,,,,normal tissue patient p29,GSM1978003,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_H,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978003,normal,p29,2
normal_tissue_patient_p30,,,,,,,normal tissue patient p30,GSM1978004,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_J,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978004,normal,p30,2
normal_tissue_patient_p31,,,,,,,normal tissue patient p31,GSM1978005,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793028_L,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978005,normal,p31,2
tumor_tissue_patient_p32,,,,,,,tumor tissue patient p32,GSM1978006,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_A,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978006,tumor,p32,1
tumor_tissue_patient_p33,,,,,,,tumor tissue patient p33,GSM1978007,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_C,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978007,tumor,p33,1
normal_tissue_patient_p33,,,,,,,normal tissue patient p33,GSM1978008,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_D,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978008,normal,p33,1
tumor_tissue_patient_p34,,,,,,,tumor tissue patient p34,GSM1978009,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_E,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978009,tumor,p34,1
normal_tissue_patient_p34,,,,,,,normal tissue patient p34,GSM1978010,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_F,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978010,normal,p34,1
tumor_tissue_patient_p35,,,,,,,tumor tissue patient p35,GSM1978011,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_G,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978011,tumor,p35,1
normal_tissue_patient_p35,,,,,,,normal tissue patient p35,GSM1978012,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_H,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978012,normal,p35,1
tumor_tissue_patient_p36,,,,,,,tumor tissue patient p36,GSM1978013,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_I,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978013,tumor,p36,2
tumor_tissue_patient_p11,,,,,,,tumor tissue patient p11,GSM1978014,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_K,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978014,tumor,p11,2
tumor_tissue_patient_p19,,,,,,,tumor tissue patient p19,GSM1978015,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793034_L,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978015,tumor,p19,2
tumor_tissue_patient_p39,,,,,,,tumor tissue patient p39,GSM1978016,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793035_A,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978016,tumor,p39,2
normal_tissue_patient_p39,,,,,,,normal tissue patient p39,GSM1978017,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,non_neoplastic prostate tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793035_B,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978017,normal,p39,2
tumor_tissue_patient_p42,,,,,,,tumor tissue patient p42,GSM1978018,Public on Dec 23 2015,Dec 22 2015,Dec 23 2015,RNA,1,prostate cancer tissue,Homo sapiens,9606,total RNA,biotin,Standard Illumina hybridization protocol,4616793035_C,GPL8179,"Matteo,,Dugo",dugo.matteo@hsr.it,Department of Medical Oncology,IRCCS Ospedale San Raffaele,via Olgettina 60,Milan,20132,Italy,NONE,GSE76260,1145,,,GSM1978018,tumor,p42,2
