sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_label_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_fax,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,abs_call,detection_p-value,big_key
human_prostate_cancer_primary_culture_c35sx,,,,,,,Human prostate cancer primary culture C35sx,GSM88399,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88399
human_prostate_cancer_primary_culture_c38dx,,,,,,,Human prostate cancer primary culture C38dx,GSM88400,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88400
human_prostate_cancer_primary_culture_c39dx,,,,,,,Human prostate cancer primary culture C39dx,GSM88401,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88401
human_prostate_cancer_primary_culture_c39sx,,,,,,,Human prostate cancer primary culture C39sx,GSM88402,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88402
human_prostate_cancer_primary_culture_c40dx,,,,,,,Human prostate cancer primary culture C40dx,GSM88403,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88403
human_prostate_cancer_primary_culture_c41sx,,,,,,,Human prostate cancer primary culture C41sx,GSM88404,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88404
human_prostate_cancer_primary_culture_c43dx,,,,,,,Human prostate cancer primary culture C43dx,GSM88405,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88405
human_prostate_cancer_primary_culture_c45,,,,,,,Human prostate cancer primary culture C45,GSM88406,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human prostate cancer tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh tumor explant,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88406
human_normal_prostate_primary_culture_n1,,,,,,,Human normal prostate primary culture N1,GSM88407,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human normal prostate tissue,Homo sapiens,9606,"Epithelial prostate primary cells from fresh explant from normal tissue, obtained from a cystoprostatectomy of a patient with a bladder carcinoma with no lesions in the prostate",total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88407
human_normal_prostate_primary_culture_c16sx,,,,,,,Human normal prostate primary culture C16sx,GSM88408,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human normal prostate tissue,Homo sapiens,9606,"Epithelial prostate primary cells from fresh explant of controlateral normal tissue characterized by the presence of few areas of ""PIN"" (Prostatic In Situ Neoplasia)",total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88408
human_prostate_hyperplasia_primary_culture_c10,,,,,,,Human prostate hyperplasia primary culture C10,GSM88409,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human Benign Prostatic Hyperplasia (BPH) tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh explant of benign hyperplasia,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88409
human_prostate_hyperplasia_primary_culture_c17,,,,,,,Human prostate hyperplasia primary culture C17,GSM88410,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Human Benign Prostatic Hyperplasia (BPH) tissue,Homo sapiens,9606,Epithelial prostate primary cells from fresh explant of benign hyperplasia,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88410
human_prostate_epithelial_cells_prec_3p,,,,,,,Human Prostate epithelial cells PrEC 3p,GSM88411,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Cambrex company,Homo sapiens,9606,Human prostate epithelial cells with basaloid phenotype,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88411
human_prostate_epithelial_cells_prec_4p,,,,,,,Human Prostate epithelial cells PrEC 4p,GSM88412,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Cambrex company,Homo sapiens,9606,Human prostate epithelial cells with basaloid phenotype,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88412
human_prostate_epithelial_cells_prec,,,,,,,Human Prostate epithelial cells PrEC,GSM88413,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,Cambrex company,Homo sapiens,9606,Human prostate epithelial cells with basaloid phenotype,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88413
human_prostate_epithelial_cells_lncap,,,,,,,Human Prostate epithelial cells LNCaP,GSM88414,Public on Mar 09 2006,Dec 19 2005,Mar 09 2006,RNA,1,ATCC company,Homo sapiens,9606,Human prostate epithelial cells from metastatic site: left supraclavicular lymph node,total RNA,SAPE,according to Affymetrix protocol,MAS5,GPL96,"Antonella,,Farsetti",farsetti@ifo.it,00390652662531,00390652662505,Laboratorio di Oncogenesi Molecolare,Centro Ricerca Sperimentale,Istituto Regina Elena,Via delle Messi d'Oro 156,Roma,00158,Italy,NONE,GSE3868,22283,,"MAS5.0, scaled to 200",,,GSM88414
