sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_hyb_protocol,sample_scan_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_department,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,big_key
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp144,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP144,GSM1318086,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318086
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp145,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP145,GSM1318087,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318087
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp16,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP16,GSM1318088,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318088
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp17,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP17,GSM1318089,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318089
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp173,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP173,GSM1318090,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318090
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp174,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP174,GSM1318091,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318091
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp175,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP175,GSM1318092,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318092
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp176,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP176,GSM1318093,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318093
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp177,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP177,GSM1318094,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318094
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp178,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP178,GSM1318095,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318095
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp179,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP179,GSM1318096,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318096
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp18,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP18,GSM1318097,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318097
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp180,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP180,GSM1318098,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318098
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp181,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP181,GSM1318099,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318099
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp182,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP182,GSM1318100,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318100
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp183,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP183,GSM1318101,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318101
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp184,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP184,GSM1318102,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318102
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp185,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP185,GSM1318103,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue benign,Homo sapiens,9606,tissue: human prostate tissue benign,total RNA,FAM dye,n/a,n/a,benign,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318103
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp190,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP190,GSM1318104,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318104
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp21,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP21,GSM1318105,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318105
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp23,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP23,GSM1318106,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318106
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp25,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP25,GSM1318107,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318107
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp26,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP26,GSM1318108,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318108
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp27,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP27,GSM1318109,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318109
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp28,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP28,GSM1318110,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318110
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp29,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP29,GSM1318111,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318111
qrt-pcr_gene_expression_data_of_human_prostate_tissue_igp30,,,,,,,qRT-PCR gene expression data of human prostate tissue IGP30,GSM1318112,Public on Dec 08 2014,Jan 29 2014,Dec 08 2014,RNA,1,human prostate tissue tumor,Homo sapiens,9606,tissue: human prostate tissue tumor,total RNA,FAM dye,n/a,n/a,tumor,GPL18234,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,NONE,GSE54516,522,,GSM1318112
