sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_organism_ch2,sample_taxid_ch2,sample_molecule_ch2,sample_label_ch2,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_fax,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,treatment,tissue,time
prostate_castrated_0_day_rep3,,,,,,,Prostate castrated 0 day rep3,GSM446330,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 0 day",Homo sapiens,9606,time (days): 0,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446330/suppl/GSM446330_2004-12-08-HuOli-30K-P2-G4-slide-3000236855.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446330,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_1_day_rep3,,,,,,,Prostate castrated 1 day rep3,GSM446331,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 1 day",Homo sapiens,9606,time (days): 1,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446331/suppl/GSM446331_2004-12-08-HuOli-30K-P2-G4-slide-3000236856.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446331,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_3_day_rep3,,,,,,,Prostate castrated 3 day rep3,GSM446332,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 3 day",Homo sapiens,9606,time (days): 3,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446332/suppl/GSM446332_2004-12-08-HuOli-30K-P2-G4-slide-3000236857.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446332,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_7_day_rep3,,,,,,,Prostate castrated 7 day rep3,GSM446333,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 7 day",Homo sapiens,9606,time (days): 7,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446333/suppl/GSM446333_2004-12-08-HuOli-30K-P2-G4-slide-3000236858.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446333,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_14_day_rep3,,,,,,,Prostate castrated 14 day rep3,GSM446334,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 14 day",Homo sapiens,9606,time (days): 14,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446334/suppl/GSM446334_2004-12-08-HuOli-30K-P2-G4-slide-3000236859.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446334,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_0_day_rep4,,,,,,,Prostate castrated 0 day rep4,GSM446335,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 0 day",Homo sapiens,9606,time (days): 0,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446335/suppl/GSM446335_2005-01-11-HuOli-30K-P2-G4-slide-3000236931.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446335,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_1_day_rep4,,,,,,,Prostate castrated 1 day rep4,GSM446336,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 1 day",Homo sapiens,9606,time (days): 1,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446336/suppl/GSM446336_2004-12-08-HuOli-30K-P2-G4-slide-3000236851.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446336,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_3_day_rep4,,,,,,,Prostate castrated 3 day rep4,GSM446337,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 3 day",Homo sapiens,9606,time (days): 3,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446337/suppl/GSM446337_2004-12-08-HuOli-30K-P2-G4-slide-3000236852.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446337,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_7_day_rep4,,,,,,,Prostate castrated 7 day rep4,GSM446338,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 7 day",Homo sapiens,9606,time (days): 7,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446338/suppl/GSM446338_2004-12-08-HuOli-30K-P2-G4-slide-3000236853.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446338,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_14_day_rep4,,,,,,,Prostate castrated 14 day rep4,GSM446339,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 14 day",Homo sapiens,9606,time (days): 14,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446339/suppl/GSM446339_2004-12-08-HuOli-30K-P2-G4-slide-3000236854.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446339,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_0_day_rep5,,,,,,,Prostate castrated 0 day rep5,GSM446340,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 0 day",Homo sapiens,9606,time (days): 0,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446340/suppl/GSM446340_2005-01-11-HuOli-30K-P2-G4-slide-3000236920.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446340,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_1_day_rep5,,,,,,,Prostate castrated 1 day rep5,GSM446341,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 1 day",Homo sapiens,9606,time (days): 1,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446341/suppl/GSM446341_2005-01-11-HuOli-30K-P2-G4-slide-3000236921.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446341,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_7_day_rep5,,,,,,,Prostate castrated 7 day rep5,GSM446342,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 7 day",Homo sapiens,9606,time (days): 7,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446342/suppl/GSM446342_2005-01-11-HuOli-30K-P2-G4-slide-3000236922.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446342,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_14_day_rep5,,,,,,,Prostate castrated 14 day rep5,GSM446343,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 14 day",Homo sapiens,9606,time (days): 14,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446343/suppl/GSM446343_2005-01-11-HuOli-30K-P2-G4-slide-3000236923.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446343,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_0_day_rep6,,,,,,,Prostate castrated 0 day rep6,GSM446344,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 0 day",Homo sapiens,9606,time (days): 0,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446344/suppl/GSM446344_2005-01-12-HuOli-30K-P2-G4-slide-3000236934.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446344,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_1_day_rep6,,,,,,,Prostate castrated 1 day rep6,GSM446345,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 1 day",Homo sapiens,9606,time (days): 1,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446345/suppl/GSM446345_2005-01-12-HuOli-30K-P2-G4-slide-3000236935.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446345,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_7_day_rep6,,,,,,,Prostate castrated 7 day rep6,GSM446346,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 7 day",Homo sapiens,9606,time (days): 7,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446346/suppl/GSM446346_2005-01-11-HuOli-30K-P2-G4-slide-3000236925.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446346,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_castrated_14_day_rep6,,,,,,,Prostate castrated 14 day rep6,GSM446347,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in castrated mouse, 14 day",Homo sapiens,9606,time (days): 14,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446347/suppl/GSM446347_2005-01-11-HuOli-30K-P2-G4-slide-3000236926.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446347,castratedcastrated,prostate xenograftprostate xenograft,0
prostate_testosterone_0_day_rep1,,,,,,,Prostate testosterone 0 day rep1,GSM446348,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in testosterone-treated mouse, 0 day",Homo sapiens,9606,time (days): 0,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446348/suppl/GSM446348_2005-01-07-HuOli-30K-P2-G4-slide-3000236906.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446348,"intact, +testosteronecastrated",prostate xenograftprostate xenograft,0
prostate_testosterone_1_day_rep1,,,,,,,Prostate testosterone 1 day rep1,GSM446349,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in testosterone-treated mouse, 1 day",Homo sapiens,9606,time (days): 1,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446349/suppl/GSM446349_2005-01-07-HuOli-30K-P2-G4-slide-3000236907.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446349,"intact, +testosteronecastrated",prostate xenograftprostate xenograft,0
prostate_testosterone_3_day_rep1,,,,,,,Prostate testosterone 3 day rep1,GSM446350,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in testosterone-treated mouse, 3 day",Homo sapiens,9606,time (days): 3,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446350/suppl/GSM446350_2005-01-07-HuOli-30K-P2-G4-slide-3000236908.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446350,"intact, +testosteronecastrated",prostate xenograftprostate xenograft,0
prostate_testosterone_7_day_rep1,,,,,,,Prostate testosterone 7 day rep1,GSM446351,Public on Jun 14 2010,Aug 28 2009,Jun 14 2010,RNA,2,"human prostate in testosterone-treated mouse, 7day",Homo sapiens,9606,time (days): 7,total RNA,Cy5,Homo sapiens,9606,total RNA,Cy3,n/a,GPL9035,"Simon,,Hayward",simon.hayward@vanderbilt.edu,615-322-5823,615-322-5869,Hayward,Urologic Surgery,Vanderbilt University Medical Center,"A1302 MCN, 1161 21st Ave S.",Nashville,TN,37232-2765,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM446nnn/GSM446351/suppl/GSM446351_2005-01-07-HuOli-30K-P2-G4-slide-3000236909.gpr.gz,GSE17862,28830,,Lowess normalized log2 test/reference,GSM446351,"intact, +testosteronecastrated",prostate xenograftprostate xenograft,0
