sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_department,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissuer_type,tumor_type
igp119,,,,,,,IGP119,GSM720513,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720513/suppl/GSM720513.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720513,Benign,NA
igp120,,,,,,,IGP120,GSM720514,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720514/suppl/GSM720514.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720514,Benign,NA
igp122,,,,,,,IGP122,GSM720515,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720515/suppl/GSM720515.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720515,Benign,NA
igp123,,,,,,,IGP123,GSM720516,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720516/suppl/GSM720516.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720516,Benign,NA
igp124,,,,,,,IGP124,GSM720517,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720517/suppl/GSM720517.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720517,Benign,NA
igp126,,,,,,,IGP126,GSM720518,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720518/suppl/GSM720518.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720518,Benign,NA
igp127,,,,,,,IGP127,GSM720519,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720519/suppl/GSM720519.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720519,Benign,NA
igp137,,,,,,,IGP137,GSM720520,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720520/suppl/GSM720520.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720520,Benign,NA
igp138,,,,,,,IGP138,GSM720521,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720521/suppl/GSM720521.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720521,Benign,NA
igp139,,,,,,,IGP139,GSM720522,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720522/suppl/GSM720522.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720522,Benign,NA
igp141,,,,,,,IGP141,GSM720523,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720523/suppl/GSM720523.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720523,Benign,NA
igp142,,,,,,,IGP142,GSM720524,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720524/suppl/GSM720524.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720524,Benign,NA
igp143,,,,,,,IGP143,GSM720525,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720525/suppl/GSM720525.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720525,Benign,NA
igp144,,,,,,,IGP144,GSM720526,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720526/suppl/GSM720526.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720526,Benign,NA
igp145,,,,,,,IGP145,GSM720527,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720527/suppl/GSM720527.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720527,Benign,NA
igp16,,,,,,,IGP16,GSM720528,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720528/suppl/GSM720528.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720528,Benign,NA
igp17,,,,,,,IGP17,GSM720529,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720529/suppl/GSM720529.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720529,Benign,NA
igp174,,,,,,,IGP174,GSM720530,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720530/suppl/GSM720530.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720530,Benign,NA
igp175,,,,,,,IGP175,GSM720531,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720531/suppl/GSM720531.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720531,Benign,NA
igp176,,,,,,,IGP176,GSM720532,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720532/suppl/GSM720532.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720532,Benign,NA
igp177,,,,,,,IGP177,GSM720533,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720533/suppl/GSM720533.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720533,Benign,NA
igp178,,,,,,,IGP178,GSM720534,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720534/suppl/GSM720534.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720534,Benign,NA
igp179,,,,,,,IGP179,GSM720535,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720535/suppl/GSM720535.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720535,Benign,NA
igp18,,,,,,,IGP18,GSM720536,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720536/suppl/GSM720536.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720536,Benign,NA
igp180,,,,,,,IGP180,GSM720537,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720537/suppl/GSM720537.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720537,Benign,NA
igp181,,,,,,,IGP181,GSM720538,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720538/suppl/GSM720538.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720538,Benign,NA
igp182,,,,,,,IGP182,GSM720539,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720539/suppl/GSM720539.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720539,Benign,NA
igp183,,,,,,,IGP183,GSM720540,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720540/suppl/GSM720540.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720540,Benign,NA
igp184,,,,,,,IGP184,GSM720541,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720541/suppl/GSM720541.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720541,Benign,NA
igp185,,,,,,,IGP185,GSM720542,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720542/suppl/GSM720542.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720542,Benign,NA
igp186,,,,,,,IGP186,GSM720543,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720543/suppl/GSM720543.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720543,Benign,NA
igp188,,,,,,,IGP188,GSM720544,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720544/suppl/GSM720544.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720544,Benign,NA
igp190,,,,,,,IGP190,GSM720545,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720545/suppl/GSM720545.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720545,Tumor,unclear
igp20,,,,,,,IGP20,GSM720546,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720546/suppl/GSM720546.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720546,Benign,NA
igp21,,,,,,,IGP21,GSM720547,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720547/suppl/GSM720547.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720547,Tumor,TMPRSS2-ERG Fusion-negative
igp23,,,,,,,IGP23,GSM720548,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720548/suppl/GSM720548.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720548,Tumor,TMPRSS2-ERG Fusion-negative
igp25,,,,,,,IGP25,GSM720549,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720549/suppl/GSM720549.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720549,Tumor,TMPRSS2-ERG Fusion-positive
igp26,,,,,,,IGP26,GSM720550,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720550/suppl/GSM720550.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720550,Tumor,TMPRSS2-ERG Fusion-negative
igp28,,,,,,,IGP28,GSM720551,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720551/suppl/GSM720551.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720551,Tumor,TMPRSS2-ERG Fusion-positive
igp29,,,,,,,IGP29,GSM720552,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720552/suppl/GSM720552.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720552,Tumor,TMPRSS2-ERG Fusion-negative
igp30,,,,,,,IGP30,GSM720553,Public on Dec 31 2011,May 05 2011,Dec 31 2011,RNA,1,Human prostate epithelium,Homo sapiens,9606,total RNA,Biotin,GPL5175,"Ruprecht,,Kuner",Unit Cancer Genome Research,Molecular Genetics,Im Neuenheimer Feld 460,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM720nnn/GSM720553/suppl/GSM720553.CEL.gz,GSE29079,17881,Transcript cluster ID,log2 RMA,GSM720553,Tumor,unclear
