sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_fax,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,tissue_source
aa_cancer_7_agilent_,,,,,,,AA cancer 7 [Agilent],GSM1568633,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568633/suppl/GSM1568633_US451R3000_251911813971_S02_miRNA-v1_95_May07_NormLab_1_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568633,prostate cancer samples from AA,needle biosy core
aa_cancer_8_agilent_,,,,,,,AA cancer 8 [Agilent],GSM1568634,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568634/suppl/GSM1568634_US451R3000_251911813971_S02_miRNA-v1_95_May07_NormLab_1_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568634,prostate cancer samples from AA,needle biosy core
ea_cancer_5_agilent_,,,,,,,EA cancer 5 [Agilent],GSM1568635,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568635/suppl/GSM1568635_US451R3000_251911813971_S02_miRNA-v1_95_May07_NormLab_2_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568635,prostate cancer samples from EA,needle biosy core
ea_cancer_6_agilent_,,,,,,,EA cancer 6 [Agilent],GSM1568636,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568636/suppl/GSM1568636_US451R3000_251911813971_S02_miRNA-v1_95_May07_NormLab_2_2.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568636,prostate cancer samples from EA,needle biosy core
ea_cancer_7_agilent_,,,,,,,EA cancer 7 [Agilent],GSM1568637,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568637/suppl/GSM1568637_US451R3000_251911813971_S02_miRNA-v1_95_May07_NormLab_2_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568637,prostate cancer samples from EA,needle biosy core
ea_cancer_8_agilent_,,,,,,,EA cancer 8 [Agilent],GSM1568638,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568638/suppl/GSM1568638_US451R3000_251911813971_S02_miRNA-v1_95_May07_NormLab_2_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568638,prostate cancer samples from EA,needle biosy core
aa_normal_1_agilent_,,,,,,,AA normal 1 [Agilent],GSM1568639,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568639/suppl/GSM1568639_US451R3000_251911814145_S01_miRNA-v1_95_May07_NormLab_1_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568639,patient matched normal tissue from AA,needle biosy core
aa_normal_2_agilent_,,,,,,,AA normal 2 [Agilent],GSM1568640,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568640/suppl/GSM1568640_US451R3000_251911814145_S01_miRNA-v1_95_May07_NormLab_1_2.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568640,patient matched normal tissue from AA,needle biosy core
aa_normal_3_agilent_,,,,,,,AA normal 3 [Agilent],GSM1568641,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568641/suppl/GSM1568641_US451R3000_251911814145_S01_miRNA-v1_95_May07_NormLab_1_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568641,patient matched normal tissue from AA,needle biosy core
aa_normal_4_agilent_,,,,,,,AA normal 4 [Agilent],GSM1568642,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568642/suppl/GSM1568642_US451R3000_251911814145_S01_miRNA-v1_95_May07_NormLab_1_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568642,patient matched normal tissue from AA,needle biosy core
ea_normal_1_agilent_,,,,,,,EA normal 1 [Agilent],GSM1568643,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568643/suppl/GSM1568643_US451R3000_251911814145_S01_miRNA-v1_95_May07_NormLab_2_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568643,patient matched normal tissue from EA,needle biosy core
ea_normal_2_agilent_,,,,,,,EA normal 2 [Agilent],GSM1568644,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568644/suppl/GSM1568644_US451R3000_251911814145_S01_miRNA-v1_95_May07_NormLab_2_2.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568644,patient matched normal tissue from EA,needle biosy core
ea_normal_3_agilent_,,,,,,,EA normal 3 [Agilent],GSM1568645,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568645/suppl/GSM1568645_US451R3000_251911814145_S01_miRNA-v1_95_May07_NormLab_2_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568645,patient matched normal tissue from EA,needle biosy core
ea_normal_4_agilent_,,,,,,,EA normal 4 [Agilent],GSM1568646,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568646/suppl/GSM1568646_US451R3000_251911814145_S01_miRNA-v1_95_May07_NormLab_2_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568646,patient matched normal tissue from EA,needle biosy core
aa_normal_5_agilent_,,,,,,,AA normal 5 [Agilent],GSM1568647,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568647/suppl/GSM1568647_US451R3000_251911814146_S01_miRNA-v1_95_May07_NormLab_1_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568647,patient matched normal tissue from AA,needle biosy core
aa_normal_6_agilent_,,,,,,,AA normal 6 [Agilent],GSM1568648,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568648/suppl/GSM1568648_US451R3000_251911814146_S01_miRNA-v1_95_May07_NormLab_1_2.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568648,patient matched normal tissue from AA,needle biosy core
aa_normal_7_agilent_,,,,,,,AA normal 7 [Agilent],GSM1568649,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568649/suppl/GSM1568649_US451R3000_251911814146_S01_miRNA-v1_95_May07_NormLab_1_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568649,patient matched normal tissue from AA,needle biosy core
aa_normal_8_agilent_,,,,,,,AA normal 8 [Agilent],GSM1568650,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568650/suppl/GSM1568650_US451R3000_251911814146_S01_miRNA-v1_95_May07_NormLab_1_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568650,patient matched normal tissue from AA,needle biosy core
ea_normal_5_agilent_,,,,,,,EA normal 5 [Agilent],GSM1568651,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568651/suppl/GSM1568651_US451R3000_251911814146_S01_miRNA-v1_95_May07_NormLab_2_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568651,patient matched normal tissue from EA,needle biosy core
ea_normal_6_agilent_,,,,,,,EA normal 6 [Agilent],GSM1568652,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568652/suppl/GSM1568652_US451R3000_251911814146_S01_miRNA-v1_95_May07_NormLab_2_2.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568652,patient matched normal tissue from EA,needle biosy core
ea_normal_7_agilent_,,,,,,,EA normal 7 [Agilent],GSM1568653,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568653/suppl/GSM1568653_US451R3000_251911814146_S01_miRNA-v1_95_May07_NormLab_2_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568653,patient matched normal tissue from EA,needle biosy core
ea_normal_8_agilent_,,,,,,,EA normal 8 [Agilent],GSM1568654,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568654/suppl/GSM1568654_US451R3000_251911814146_S01_miRNA-v1_95_May07_NormLab_2_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568654,patient matched normal tissue from EA,needle biosy core
aa_tumor_9_agilent_,,,,,,,AA tumor 9 [Agilent],GSM1568655,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568655/suppl/GSM1568655_US451R3000_251911814147_S01_miRNA-v1_95_May07_NormLab_1_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568655,prostate cancer samples from AA,needle biosy core
aa_tumor_11_agilent_,,,,,,,AA tumor 11 [Agilent],GSM1568656,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568656/suppl/GSM1568656_US451R3000_251911814147_S01_miRNA-v1_95_May07_NormLab_1_3.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568656,prostate cancer samples from AA,needle biosy core
aa_tumor_12_agilent_,,,,,,,AA tumor 12 [Agilent],GSM1568657,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568657/suppl/GSM1568657_US451R3000_251911814147_S01_miRNA-v1_95_May07_NormLab_1_4.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568657,prostate cancer samples from AA,needle biosy core
ea_tumor_9_agilent_,,,,,,,EA tumor 9 [Agilent],GSM1568658,Public on Jul 27 2015,Dec 18 2014,Aug 06 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,total RNA,Cy3,GPL8227,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1568nnn/GSM1568658/suppl/GSM1568658_US451R3000_251911814147_S01_miRNA-v1_95_May07_NormLab_2_1.txt.gz,"GSE64318, GSE64333",821,,"Log2-transformed, normalized signal intensity",GSM1568658,prostate cancer samples from EA,needle biosy core
