sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_label_ch1,sample_source_name_ch2,sample_organism_ch2,sample_taxid_ch2,sample_treatment_protocol_ch2,sample_growth_protocol_ch2,sample_molecule_ch2,sample_label_ch2,sample_description,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,sample_id,tissue
pca_y44_n,,,,,,,PCa_Y44_N,GSM1471706,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471706/suppl/GSM1471706_US22502614_252800412690_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_3.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471706,Y44,Prostate adenocarcinoma
pca_y44_ds,,,,,,,PCa_Y44_DS,GSM1471707,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471707/suppl/GSM1471707_US22502614_252800412690_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_4.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471707,Y44,Prostate adenocarcinoma
pca_p55_n,,,,,,,PCa_P55_N,GSM1471708,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471708/suppl/GSM1471708_US22502614_252800412690_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471708,P55,Prostate adenocarcinoma
pca_p55_ds,,,,,,,PCa_P55_DS,GSM1471709,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471709/suppl/GSM1471709_US22502614_252800412690_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_2.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471709,P55,Prostate adenocarcinoma
pca_x40_n,,,,,,,PCa_X40_N,GSM1471710,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471710/suppl/GSM1471710_US22502614_252800412691_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_3.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471710,X40,Prostate adenocarcinoma
pca_x40_ds,,,,,,,PCa_X40_DS,GSM1471711,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471711/suppl/GSM1471711_US22502614_252800412691_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_4.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471711,X40,Prostate adenocarcinoma
pca_b12_n,,,,,,,PCa_B12_N,GSM1471712,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471712/suppl/GSM1471712_US22502614_252800412691_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471712,B12,Prostate adenocarcinoma
pca_b12_ds,,,,,,,PCa_B12_DS,GSM1471713,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471713/suppl/GSM1471713_US22502614_252800412691_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_2.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471713,B12,Prostate adenocarcinoma
pca_b17_n,,,,,,,PCa_B17_N,GSM1471714,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471714/suppl/GSM1471714_US22502614_252800412691_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_3.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471714,B17,Prostate adenocarcinoma
pca_b17_ds,,,,,,,PCa_B17_DS,GSM1471715,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471715/suppl/GSM1471715_US22502614_252800412691_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_4.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471715,B17,Prostate adenocarcinoma
pca_aa65_n,,,,,,,PCa_AA65_N,GSM1471716,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471716/suppl/GSM1471716_US22502614_252800412714_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471716,AA65,Prostate adenocarcinoma
pca_aa65_ds,,,,,,,PCa_AA65_DS,GSM1471717,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471717/suppl/GSM1471717_US22502614_252800412714_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_2.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471717,AA65,Prostate adenocarcinoma
pca_c27_n,,,,,,,PCa_C27_N,GSM1471718,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471718/suppl/GSM1471718_US22502614_252800412714_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_3.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471718,C27,Prostate adenocarcinoma
pca_c27_ds,,,,,,,PCa_C27_DS,GSM1471719,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471719/suppl/GSM1471719_US22502614_252800412714_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_4.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471719,C27,Prostate adenocarcinoma
pca_aa69_n,,,,,,,PCa_AA69_N,GSM1471720,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471720/suppl/GSM1471720_US22502614_252800412715_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471720,AA69,Prostate adenocarcinoma
pca_aa69_ds,,,,,,,PCa_AA69_DS,GSM1471721,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471721/suppl/GSM1471721_US22502614_252800412715_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_2.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471721,AA69,Prostate adenocarcinoma
pca_bb5_n,,,,,,,PCa_BB5_N,GSM1471722,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471722/suppl/GSM1471722_US22502614_252800412715_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_3.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471722,BB5,Prostate adenocarcinoma
pca_bb5_ds,,,,,,,PCa_BB5_DS,GSM1471723,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471723/suppl/GSM1471723_US22502614_252800412715_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_4.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471723,BB5,Prostate adenocarcinoma
pca_g70_n,,,,,,,PCa_G70_N,GSM1471724,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471724/suppl/GSM1471724_US22502614_252800412715_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471724,G70,Prostate adenocarcinoma
pca_g70_ds,,,,,,,PCa_G70_DS,GSM1471725,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471725/suppl/GSM1471725_US22502614_252800412715_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_2.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471725,G70,Prostate adenocarcinoma
pca_m26_n,,,,,,,PCa_M26_N,GSM1471726,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471726/suppl/GSM1471726_US22502614_252800412715_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_3.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471726,M26,Prostate adenocarcinoma
pca_m26_ds,,,,,,,PCa_M26_DS,GSM1471727,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (dye-swap labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471727/suppl/GSM1471727_US22502614_252800412715_S01_GE2_107_Sep09_2_NO_SPIKEIN_2_4.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471727,M26,Prostate adenocarcinoma
pca_v18_n,,,,,,,PCa_V18_N,GSM1471728,Public on Mar 08 2017,Aug 12 2014,Mar 08 2017,RNA,2,Prostate Cancer,Homo sapiens,9606,NA,NA,total RNA,Cy5,Prostate Commercial Reference,Homo sapiens,9606,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men vs Prostate Commercial Reference (normal labelling),GPL14550,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1471nnn/GSM1471728/suppl/GSM1471728_US22502614_252800412716_S01_GE2_107_Sep09_2_NO_SPIKEIN_1_1.txt.gz,"GSE60329, GSE60371",42405,,log2 normalized Intensity values (test/reference),GSM1471728,V18,Prostate adenocarcinoma
