sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_label_ch1,sample_scan_protocol,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_fax,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,big_key
ea_tumor_30_reanalysis_affymetrix_,,,,,,,EA tumor 30 [reanalysis Affymetrix],GSM1845238,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845238/suppl/GSM1845238_30+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845238
ea_normal_30_affymetrix_,,,,,,,EA normal 30 [Affymetrix],GSM1845239,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845239/suppl/GSM1845239_30-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845239
ea_tumor_44_reanalysis_affymetrix_,,,,,,,EA tumor 44 [reanalysis Affymetrix],GSM1845240,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845240/suppl/GSM1845240_44+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845240
ea_normal_44_affymetrix_,,,,,,,EA normal 44 [Affymetrix],GSM1845241,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845241/suppl/GSM1845241_44-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845241
ea_tumor_57_reanalysis_affymetrix_,,,,,,,EA tumor 57 [reanalysis Affymetrix],GSM1845242,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845242/suppl/GSM1845242_57+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845242
ea_normal_57_affymetrix_,,,,,,,EA normal 57 [Affymetrix],GSM1845243,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845243/suppl/GSM1845243_57-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845243
ea_tumor_58_reanalysis_affymetrix_,,,,,,,EA tumor 58 [reanalysis Affymetrix],GSM1845244,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845244/suppl/GSM1845244_58+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845244
ea_normal_58_affymetrix_,,,,,,,EA normal 58 [Affymetrix],GSM1845245,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845245/suppl/GSM1845245_58-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845245
ea_tumor_60_reanalysis_affymetrix_,,,,,,,EA tumor 60 [reanalysis Affymetrix],GSM1845246,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845246/suppl/GSM1845246_60+.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845246
ea_normal_60_affymetrix_,,,,,,,EA normal 60 [Affymetrix],GSM1845247,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845247/suppl/GSM1845247_60-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845247
ea_tumor_87_reanalysis_affymetrix_,,,,,,,EA tumor 87 [reanalysis Affymetrix],GSM1845248,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845248/suppl/GSM1845248_87RB.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845248
ea_normal_87_affymetrix_,,,,,,,EA normal 87 [Affymetrix],GSM1845249,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845249/suppl/GSM1845249_87-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845249
ea_tumor_105_reanalysis_affymetrix_,,,,,,,EA tumor 105 [reanalysis Affymetrix],GSM1845250,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845250/suppl/GSM1845250_105LA.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845250
ea_normal_105_affymetrix_,,,,,,,EA normal 105 [Affymetrix],GSM1845251,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845251/suppl/GSM1845251_105-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845251
ea_tumor_121_reanalysis_affymetrix_,,,,,,,EA tumor 121 [reanalysis Affymetrix],GSM1845252,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845252/suppl/GSM1845252_121LM.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845252
ea_normal_121_affymetrix_,,,,,,,EA normal 121 [Affymetrix],GSM1845253,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845253/suppl/GSM1845253_121-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845253
ea_tumor_124_reanalysis_affymetrix_,,,,,,,EA tumor 124 [reanalysis Affymetrix],GSM1845254,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845254/suppl/GSM1845254_124LA.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845254
ea_normal_124_affymetrix_,,,,,,,EA normal 124 [Affymetrix],GSM1845255,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845255/suppl/GSM1845255_124-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845255
ea_tumor_139_reanalysis_affymetrix_,,,,,,,EA tumor 139 [reanalysis Affymetrix],GSM1845256,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845256/suppl/GSM1845256_139LM.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845256
ea_normal_139_affymetrix_,,,,,,,EA normal 139 [Affymetrix],GSM1845257,Public on Aug 07 2015,Aug 06 2015,Aug 07 2015,RNA,1,prostate biopsy from prostate cancer patient,Homo sapiens,9606,tissue: prostate,total RNA,biotin,Affymetrix GeneChIP Scanner 3000,needle biopsy specimen from prostate,GPL5175,"Bi-Dar,,Wang",wangbi@gwu.edu,202-994-3543,202-994-2870,Pharmacology and Physiology,The George Washington University Medical Center,"2300 I street, NW",Washington,DC,20037,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1845nnn/GSM1845257/suppl/GSM1845257_139-.CEL.gz,"GSE64333, GSE71783",17881,,GSM1845257
