sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_treatment_protocol_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key
reanalysis_pca_aa69,,,,,,,Reanalysis PCa_AA69,GSM4224458,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224458/suppl/GSM4224458_GSM1465225_miR-PCa_252182711580_S01_miRNA-v1_95_May07_1_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224458
reanalysis_pca_aa90,,,,,,,Reanalysis PCa_AA90,GSM4224459,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224459/suppl/GSM4224459_GSM1465226_miR-PCa_252182711580_S01_miRNA-v1_95_May07_1_2.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224459
reanalysis_pca_aa97,,,,,,,Reanalysis PCa_AA97,GSM4224460,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224460/suppl/GSM4224460_GSM1465227_miR-PCa_252182711580_S01_miRNA-v1_95_May07_1_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224460
reanalysis_pca_b11,,,,,,,Reanalysis PCa_B11,GSM4224461,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224461/suppl/GSM4224461_GSM1465228_miR-PCa_252182711580_S01_miRNA-v1_95_May07_1_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224461
reanalysis_pca_b12,,,,,,,Reanalysis PCa_B12,GSM4224462,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224462/suppl/GSM4224462_GSM1465229_miR-PCa_252182711580_S01_miRNA-v1_95_May07_2_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224462
reanalysis_pca_b17,,,,,,,Reanalysis PCa_B17,GSM4224463,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224463/suppl/GSM4224463_GSM1465230_miR-PCa_252182711580_S01_miRNA-v1_95_May07_2_2.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224463
reanalysis_pca_bb5,,,,,,,Reanalysis PCa_BB5,GSM4224464,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224464/suppl/GSM4224464_GSM1465231_miR-PCa_252182711580_S01_miRNA-v1_95_May07_2_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224464
reanalysis_pca_c25,,,,,,,Reanalysis PCa_C25,GSM4224465,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224465/suppl/GSM4224465_GSM1465232_miR-PCa_252182711580_S01_miRNA-v1_95_May07_2_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224465
reanalysis_pca_c27,,,,,,,Reanalysis PCa_C27,GSM4224466,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224466/suppl/GSM4224466_GSM1465233_miR-PCa_252182711581_S01_miRNA-v1_95_May07_1_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224466
reanalysis_pca_cc17,,,,,,,Reanalysis PCa_CC17,GSM4224467,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224467/suppl/GSM4224467_GSM1465234_miR-PCa_252182711581_S01_miRNA-v1_95_May07_1_2.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224467
reanalysis_pca_cc3,,,,,,,Reanalysis PCa_CC3,GSM4224468,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224468/suppl/GSM4224468_GSM1465235_miR-PCa_252182711581_S01_miRNA-v1_95_May07_1_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224468
reanalysis_pca_cc35,,,,,,,Reanalysis PCa_CC35,GSM4224469,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224469/suppl/GSM4224469_GSM1465236_miR-PCa_252182711581_S01_miRNA-v1_95_May07_1_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224469
reanalysis_pca_cc41,,,,,,,Reanalysis PCa_CC41,GSM4224470,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224470/suppl/GSM4224470_GSM1465237_miR-PCa_252182711581_S01_miRNA-v1_95_May07_2_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224470
reanalysis_pca_cc62,,,,,,,Reanalysis PCa_CC62,GSM4224471,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224471/suppl/GSM4224471_GSM1465238_miR-PCa_252182711581_S01_miRNA-v1_95_May07_2_2.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224471
reanalysis_pca_cc75,,,,,,,Reanalysis PCa_CC75,GSM4224472,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224472/suppl/GSM4224472_GSM1465239_miR-PCa_252182711581_S01_miRNA-v1_95_May07_2_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224472
reanalysis_pca_cc8,,,,,,,Reanalysis PCa_CC8,GSM4224473,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224473/suppl/GSM4224473_GSM1465240_miR-PCa_252182711581_S01_miRNA-v1_95_May07_2_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224473
reanalysis_pca_p60,,,,,,,Reanalysis PCa_P60,GSM4224474,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224474/suppl/GSM4224474_GSM1465241_miR-PCa_252182711929_S01_miRNA-v1_95_May07_1_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224474
reanalysis_pca_q70,,,,,,,Reanalysis PCa_Q70,GSM4224475,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224475/suppl/GSM4224475_GSM1465243_miR-PCa_252182711929_S01_miRNA-v1_95_May07_1_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224475
reanalysis_pca_v18,,,,,,,Reanalysis PCa_V18,GSM4224476,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224476/suppl/GSM4224476_GSM1465244_miR-PCa_252182711929_S01_miRNA-v1_95_May07_1_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224476
reanalysis_pca_w25,,,,,,,Reanalysis PCa_W25,GSM4224477,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224477/suppl/GSM4224477_GSM1465245_miR-PCa_252182711929_S01_miRNA-v1_95_May07_2_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224477
reanalysis_pca_w28,,,,,,,Reanalysis PCa_W28,GSM4224478,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224478/suppl/GSM4224478_GSM1465246_miR-PCa_252182711929_S01_miRNA-v1_95_May07_2_2.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224478
reanalysis_pca_x40,,,,,,,Reanalysis PCa_X40,GSM4224479,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224479/suppl/GSM4224479_GSM1465247_miR-PCa_252182711929_S01_miRNA-v1_95_May07_2_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224479
reanalysis_pca_y44,,,,,,,Reanalysis PCa_Y44,GSM4224480,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224480/suppl/GSM4224480_GSM1465248_miR-PCa_252182711929_S01_miRNA-v1_95_May07_2_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224480
reanalysis_pca_f51,,,,,,,Reanalysis PCa_F51,GSM4224481,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224481/suppl/GSM4224481_GSM1465249_miR-PCa_252182711939_S02_miRNA-v1_95_May07_1_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224481
reanalysis_pca_g65,,,,,,,Reanalysis PCa_G65,GSM4224482,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224482/suppl/GSM4224482_GSM1465251_miR-PCa_252182711939_S02_miRNA-v1_95_May07_1_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224482
reanalysis_pca_g70,,,,,,,Reanalysis PCa_G70,GSM4224483,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224483/suppl/GSM4224483_GSM1465252_miR-PCa_252182711939_S02_miRNA-v1_95_May07_1_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224483
reanalysis_pca_h75,,,,,,,Reanalysis PCa_H75,GSM4224484,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224484/suppl/GSM4224484_GSM1465253_miR-PCa_252182711939_S02_miRNA-v1_95_May07_2_1.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224484
reanalysis_pca_k6,,,,,,,Reanalysis PCa_K6,GSM4224485,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224485/suppl/GSM4224485_GSM1465254_miR-PCa_252182711939_S02_miRNA-v1_95_May07_2_2.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224485
reanalysis_pca_l12,,,,,,,Reanalysis PCa_L12,GSM4224486,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224486/suppl/GSM4224486_GSM1465255_miR-PCa_252182711939_S02_miRNA-v1_95_May07_2_3.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224486
reanalysis_pca_l16,,,,,,,Reanalysis PCa_L16,GSM4224487,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224487/suppl/GSM4224487_GSM1465256_miR-PCa_252182711939_S02_miRNA-v1_95_May07_2_4.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224487
reanalysis_pca_m26,,,,,,,Reanalysis PCa_M26,GSM4224488,Public on Oct 06 2020,Dec 18 2019,Oct 07 2020,RNA,1,Prostate Cancer,Homo sapiens,9606,tissue: Tumor,NA,NA,total RNA,Cy3,Prostate adenocarcinoma from Caucasian men,GPL13264,"Paola,,Ostano",Fondazione Edo ed Elvo Tempia,via Malta 3,Biella,13900,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4224nnn/GSM4224488/suppl/GSM4224488_GSM1465258_miR-PCa_252182711940_S01_miRNA-v1_95_May07_1_2.txt.gz,GSE142288,2689,,log2 normalized Intensity values,GSM4224488
