sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_hyb_protocol,sample_scan_protocol,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,normal_tumor
prostate_normal_6,,,,,,,prostate normal 6,GSM662766,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal prostate stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662766/suppl/GSM662766.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662766,prostate,normal
prostate_tumor_6,,,,,,,prostate tumor 6,GSM662767,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to prostate invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662767/suppl/GSM662767.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662767,prostate,tumor
breast_normal_1,,,,,,,breast normal 1,GSM662768,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal breast stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662768/suppl/GSM662768.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662768,breast,normal
breast_tumor_1,,,,,,,breast tumor 1,GSM662769,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to breast invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662769/suppl/GSM662769.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662769,breast,tumor
breast_normal_2,,,,,,,breast normal 2,GSM662770,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal breast stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662770/suppl/GSM662770.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662770,breast,normal
breast_tumor_2,,,,,,,breast tumor 2,GSM662771,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to breast invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662771/suppl/GSM662771.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662771,breast,tumor
breast_normal_3,,,,,,,breast normal 3,GSM662772,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal breast stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662772/suppl/GSM662772.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662772,breast,normal
breast_tumor_3,,,,,,,breast tumor 3,GSM662773,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to breast invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662773/suppl/GSM662773.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662773,breast,tumor
breast_normal_4,,,,,,,breast normal 4,GSM662774,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal breast stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662774/suppl/GSM662774.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662774,breast,normal
breast_tumor_4,,,,,,,breast tumor 4,GSM662775,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to breast invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662775/suppl/GSM662775.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662775,breast,tumor
breast_normal_5,,,,,,,breast normal 5,GSM662776,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal breast stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662776/suppl/GSM662776.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662776,breast,normal
breast_tumor_5,,,,,,,breast tumor 5,GSM662777,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to breast invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662777/suppl/GSM662777.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662777,breast,tumor
breast_normal_6,,,,,,,breast normal 6,GSM662778,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Normal breast stroma,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662778/suppl/GSM662778.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662778,breast,normal
breast_tumor_6,,,,,,,breast tumor 6,GSM662779,Public on Mar 31 2011,Jan 27 2011,Mar 31 2011,RNA,1,Stroma associated to breast invasive tumor,Homo sapiens,9606,total RNA,biotin,Standard Affymetrix protocol.,Standard Affymetrix protocol.,"RMA, using the “affy” package from Bioconductor.",GPL570,"Paolo,,Provero",paolo.provero@unito.it,Molecular Biotechnology and Health Sciences,University of Turin,Via Nizza 52,Torino,I-10100,Italy,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM662nnn/GSM662779/suppl/GSM662779.CEL.gz,GSE26910,54675,,Log2 RMA signal,GSM662779,breast,tumor
